Open,Close,High,Low,Volume,Date
3.5825,3.575,3.5875,3.5675,,03/30/17
3.5725,3.585,3.6075,3.565,,03/29/17
3.56,3.5775,3.5875,3.5575,,03/28/17
3.5675,3.5575,3.5825,3.5425,,03/27/17
3.57,3.5625,3.58,3.5525,,03/24/17
3.585,3.5675,3.5975,3.5625,,03/23/17
3.6125,3.5875,3.6175,3.5825,,03/22/17
3.635,3.6125,3.64,3.5925,,03/21/17
3.69,3.635,3.7075,3.63,,03/20/17
3.6625,3.675,3.6775,3.645,,03/17/17
3.635,3.66,3.67,3.635,,03/16/17
0,3.635,3.6475,0,,03/15/17
3.54,3.5375,3.5825,3.53,,03/14/17
3.58,3.545,3.5875,3.535,,03/13/17
3.6025,3.58,3.6025,3.56,,03/10/17
3.66,3.5975,3.665,3.5925,,03/09/17
3.6925,3.6525,3.7025,3.65,,03/08/17
3.73,3.695,3.7325,3.675,,03/07/17
3.755,3.7275,3.77,3.71,,03/06/17
3.7175,3.7475,3.755,3.7125,,03/03/17
3.75,3.7275,3.7575,3.705,,03/02/17
3.6625,3.7575,3.76,3.6575,,03/01/17
3.615,3.6675,3.7875,3.6125,,02/28/17
3.6425,3.6025,3.655,3.595,,02/27/17
3.6575,3.64,3.6675,3.625,,02/24/17
3.705,3.655,3.7175,3.6525,,02/23/17
3.6925,3.71,3.7275,3.6925,,02/22/17
3.685,3.6925,3.7075,3.665,,02/21/17
3.7325,3.6825,3.7325,3.68,,02/17/17
3.78,3.735,3.8,3.73,,02/16/17
3.74,3.7875,3.79,3.7175,,02/15/17
3.75,3.7425,3.7525,3.73,,02/14/17
3.735,3.755,3.7675,3.7175,,02/13/17
3.685,3.745,3.755,3.685,,02/10/17
3.695,3.695,3.7275,3.675,,02/09/17
3.68,3.7075,3.71,3.665,,02/08/17
3.6375,3.685,3.69,3.625,,02/07/17
3.64,3.6375,3.6875,3.625,,02/06/17
3.6575,3.6525,3.6775,3.64,,02/03/17
3.675,3.675,3.6975,3.6625,,02/02/17
3.6,3.6825,3.685,3.58,,02/01/17
3.585,3.5975,3.6125,3.5775,,01/31/17
3.615,3.5775,3.6175,3.5575,,01/30/17
3.6325,3.625,3.6425,3.605,,01/27/17
3.66,3.6375,3.6675,3.62,,01/26/17
3.6325,3.6625,3.6675,3.61,,01/25/17
3.6925,3.6325,3.71,3.6225,,01/24/17
3.695,3.695,3.7,3.675,,01/23/17
3.66,3.6975,3.7,3.65,,01/20/17
3.64,3.6625,3.675,3.6275,,01/19/17
3.645,3.65,3.6775,3.6275,,01/18/17
3.59,3.655,3.665,3.585,,01/17/17
3.575,3.585,3.595,3.5525,,01/13/17
3.57,3.5825,3.6,3.53,,01/12/17
3.5775,3.5725,3.5825,3.52,,01/11/17
3.5925,3.5825,3.595,3.5725,,01/10/17
3.59,3.6,3.6075,3.5525,,01/09/17
3.6075,3.58,3.625,3.5675,,01/06/17
3.595,3.6125,3.6275,3.585,,01/05/17
3.55,3.5975,3.6,3.5475,,01/04/17
3.52,3.5575,3.585,3.515,,01/03/17
3.495,3.52,3.53,3.4775,,12/30/16
3.4825,3.4975,3.51,3.475,,12/29/16
3.5425,3.4825,3.5475,3.4725,,12/28/16
3.465,3.55,3.56,3.4625,,12/27/16
3.47,3.4575,3.4775,3.455,,12/23/16
3.4725,3.4725,3.48,3.46,,12/22/16
3.5,3.4725,3.5125,3.4675,,12/21/16
3.5325,3.5025,3.5375,3.4925,,12/20/16
3.56,3.5325,3.5675,3.515,,12/19/16
3.56,3.5625,3.59,3.535,,12/16/16
0,3.565,3.63,3.5625,,12/15/16
3.5675,3.5175,3.57,3.535,,12/14/16
3.5525,3.5625,3.59,3.535,,12/13/16
3.5225,3.545,3.55,3.4975,,12/12/16
3.49,3.525,3.525,3.445,,12/09/16
3.5025,3.465,3.5275,3.4425,,12/08/16
3.5025,3.505,3.51,3.4725,,12/07/16
3.4825,3.51,3.54,3.4825,,12/06/16
3.375,3.495,3.5,3.375,,12/05/16
3.3275,3.375,3.38,3.3275,,12/02/16
3.37,3.3175,3.3825,3.31,,12/01/16
3.3725,3.3675,3.4175,3.36,,11/30/16
3.48,3.3675,3.4825,3.355,,11/29/16
3.4925,3.485,3.53,3.4675,,11/28/16
3.4975,3.4925,3.5075,3.485,,11/25/16
3.5025,3.5075,3.51,3.465,,11/23/16
3.495,3.51,3.5175,3.46,,11/22/16
3.4525,3.4975,3.5,3.4475,,11/21/16
3.42,3.455,3.4675,3.405,,11/18/16
3.39,3.42,3.435,3.3825,,11/17/16
3.415,3.385,3.435,3.385,,11/16/16
3.37,3.415,3.4225,3.3575,,11/15/16
3.405,3.3725,3.41,3.355,,11/14/16
3.4325,3.4025,3.45,3.39,,11/11/16
3.415,3.435,3.465,3.4025,,11/10/16
3.53,3.4075,3.55,3.405,,11/09/16
3.46,3.5425,3.565,3.45,,11/08/16
3.48,3.4625,3.495,3.45,,11/07/16
3.48,3.4875,3.4975,3.455,,11/04/16
3.4625,3.48,3.4875,3.45,,11/03/16
3.4875,3.4625,3.505,3.4425,,11/02/16
3.5475,3.49,3.5475,3.4725,,11/01/16
3.55,3.5475,3.58,3.5225,,10/31/16
3.575,3.55,3.5825,3.5425,,10/28/16
3.5375,3.575,3.585,3.5225,,10/27/16
3.4925,3.54,3.5575,3.49,,10/26/16
3.4825,3.4925,3.5225,3.4725,,10/25/16
3.515,3.4825,3.545,3.4625,,10/24/16
3.5125,3.525,3.5425,3.505,,10/21/16
3.575,3.51,3.5925,3.4925,,10/20/16
3.535,3.575,3.58,3.51,,10/19/16
3.5425,3.5375,3.575,3.515,,10/18/16
3.53,3.54,3.5775,3.5025,,10/17/16
3.495,3.5425,3.5875,3.4875,,10/14/16
3.375,3.495,3.4975,3.3725,,10/13/16
3.45,3.37,3.485,3.365,,10/12/16
3.43,3.455,3.47,3.41,,10/11/16
3.395,3.4325,3.4425,3.3925,,10/10/16
3.4075,3.3975,3.4475,3.395,,10/07/16
3.4725,3.405,3.4775,3.385,,10/06/16
3.4775,3.4775,3.4925,3.4525,,10/05/16
3.45,3.4825,3.49,3.435,,10/04/16
3.3625,3.46,3.4775,3.3525,,10/03/16
3.29,3.3675,3.375,3.25,,09/30/16
3.2975,3.2925,3.335,3.28,,09/29/16
3.3175,3.2925,3.325,3.2875,,09/28/16
3.2925,3.3175,3.325,3.2725,,09/27/16
3.34,3.29,3.365,3.285,,09/26/16
3.36,3.365,3.385,3.3375,,09/23/16
3.3925,3.3675,3.415,3.3475,,09/22/16
3.39,3.4,3.41,3.38,,09/21/16
3.36,3.405,3.4225,3.35,,09/20/16
3.3725,3.3725,3.4,3.3225,,09/19/16
3.29,3.37,3.3825,3.275,,09/16/16
0,3.3,3.3475,3.275,,09/15/16
3.205,3.2225,3.205,3.175,,09/14/16
3.2925,3.1925,3.3,3.2025,,09/13/16
3.2925,3.2925,3.3025,3.26,,09/12/16
3.265,3.3,3.305,3.2375,,09/09/16
3.22,3.27,3.2675,3.22,,09/08/16
3.1625,3.21,3.22,3.15,,09/07/16
3.16,3.1675,3.1725,3.125,,09/06/16
3.11,3.165,3.1775,3.11,,09/02/16
3.02,3.11,3.115,3.0175,,09/01/16
3.04,3.015,3.0725,3.01,,08/31/16
3.1175,3.04,3.1275,3.035,,08/30/16
3.1625,3.1175,3.1875,3.1075,,08/29/16
3.235,3.1625,3.2525,3.1575,,08/26/16
3.27,3.235,3.285,3.2225,,08/25/16
3.2825,3.275,3.305,3.255,,08/24/16
3.33,3.285,3.33,3.265,,08/23/16
3.3375,3.3325,3.345,3.305,,08/22/16
3.3225,3.3425,3.3475,3.3,,08/19/16
3.3,3.32,3.33,3.265,,08/18/16
3.2725,3.3025,3.3075,3.27,,08/17/16
3.2675,3.275,3.29,3.2425,,08/16/16
3.2125,3.265,3.29,3.21,,08/15/16
3.205,3.2225,3.23,3.12,,08/12/16
3.2225,3.21,3.2375,3.205,,08/11/16
3.22,3.225,3.255,3.2125,,08/10/16
3.2525,3.2225,3.2675,3.22,,08/09/16
3.2425,3.2525,3.28,3.225,,08/08/16
3.205,3.2425,3.25,3.2,,08/05/16
3.25,3.2075,3.2675,3.205,,08/04/16
3.2375,3.25,3.2875,3.2225,,08/03/16
3.2525,3.2425,3.275,3.195,,08/02/16
3.325,3.2575,3.3375,3.255,,08/01/16
3.3125,3.345,3.35,3.2875,,07/29/16
3.3575,3.3125,3.385,3.29,,07/28/16
3.325,3.3575,3.38,3.3175,,07/27/16
3.335,3.325,3.365,3.31,,07/26/16
3.35,3.3475,3.3825,3.3025,,07/25/16
3.345,3.35,3.3675,3.2675,,07/22/16
3.3775,3.3425,3.4175,3.3275,,07/21/16
3.4425,3.375,3.465,3.35,,07/20/16
3.565,3.4175,3.565,3.415,,07/19/16
3.5225,3.57,3.575,3.4825,,07/18/16
0,3.5225,0,3.43,,07/15/16
3.695,3.6225,3.745,3.6,,07/14/16
3.53,3.6575,3.7275,3.485,,07/13/16
3.43,3.4975,3.5025,3.3975,,07/12/16
3.5425,3.4375,3.5475,3.4175,,07/11/16
3.3725,3.4975,3.49,3.3675,,07/08/16
3.385,3.355,3.48,3.345,,07/07/16
3.4475,3.3575,3.465,3.33,,07/06/16
3.48,3.44,3.505,3.3375,,07/05/16
3.6075,3.53,3.615,3.52,,07/01/16
3.75,3.5875,3.775,3.5575,,06/30/16
3.855,3.7275,3.8725,3.7225,,06/29/16
3.83,3.8525,3.9825,3.825,,06/28/16
3.8425,3.8525,3.92,3.83,,06/27/16
3.875,3.845,3.9,3.735,,06/24/16
3.92,3.8725,3.9275,3.84,,06/23/16
3.965,3.93,4.01,3.9225,,06/22/16
4.205,3.9625,4.2225,3.9625,,06/21/16
4.355,4.2125,4.3575,4.205,,06/20/16
4.25,4.3775,4.3825,4.235,,06/17/16
4.2625,4.2525,4.2975,4.205,,06/16/16
4.3575,4.29,4.39,4.285,,06/15/16
4.295,4.365,4.3675,4.235,,06/14/16
4.275,4.3,4.38,4.275,,06/13/16
4.265,4.23,4.37,4.2,,06/10/16
4.3025,4.265,4.3025,4.2325,,06/09/16
4.2725,4.3125,4.3925,4.265,,06/08/16
